Date	Time	Temperature
2017-02-19	14:40:40	20.062
2017-02-19	14:40:43	20.062
2017-02-19	14:40:45	20.062
2017-02-19	14:40:47	20.125
2017-02-19	14:40:49	20.125
2017-02-19	14:40:51	20.125
2017-02-19	14:40:53	20.125
2017-02-19	14:40:55	20.125
2017-02-19	14:40:57	20.125
2017-02-19	14:40:59	20.125
2017-02-19	14:41:01	20.125
2017-02-19	14:41:03	20.125
2017-02-19	14:41:05	20.125
2017-02-19	14:41:07	20.125
2017-02-19	14:41:09	20.125
2017-02-19	14:41:11	20.125
2017-02-19	14:41:13	20.125
2017-02-19	14:41:15	20.187
2017-02-19	14:41:17	20.125
2017-02-19	14:41:18	20.125
2017-02-19	14:41:21	20.187
2017-02-19	14:41:23	20.125
2017-02-19	14:41:25	20.187
2017-02-19	14:41:26	20.187
2017-02-19	14:41:28	20.125
2017-02-19	14:41:30	20.125
2017-02-19	14:41:32	20.187
2017-02-19	14:41:34	20.125
2017-02-19	14:41:36	20.187
2017-02-19	14:41:38	20.187
2017-02-19	14:41:40	20.187
2017-02-19	14:41:42	20.187
2017-02-19	14:41:44	20.187
2017-02-19	14:41:46	20.187
2017-02-19	14:41:48	20.187
2017-02-19	14:41:50	20.125
2017-02-19	14:41:53	20.187
2017-02-19	14:41:55	20.187
2017-02-19	14:41:57	20.187
2017-02-19	14:41:59	20.187
2017-02-19	14:42:01	20.125
2017-02-19	14:42:03	20.187
2017-02-19	14:42:05	20.125
2017-02-19	14:42:07	20.125
2017-02-19	14:42:10	20.187
2017-02-19	14:42:12	20.187
2017-02-19	14:42:14	20.187
2017-02-19	14:42:16	20.187
2017-02-19	14:42:18	20.125
2017-02-19	14:42:20	20.187
2017-02-19	14:42:22	20.187
2017-02-19	14:42:24	20.187
2017-02-19	14:42:26	20.187
2017-02-19	14:42:28	20.187
2017-02-19	14:42:30	20.187
2017-02-19	14:42:32	20.187
2017-02-19	14:42:34	20.187
2017-02-19	14:42:36	20.187
2017-02-19	14:42:38	20.187
2017-02-19	14:42:40	20.125
2017-02-19	14:42:42	20.125
2017-02-19	14:42:44	20.062
2017-02-19	14:42:46	20.125
2017-02-19	14:42:48	20.125
2017-02-19	14:42:50	20.125
2017-02-19	14:42:52	20.125
2017-02-19	14:42:54	20.125
2017-02-19	14:42:56	20.125
2017-02-19	14:42:58	20.187
2017-02-19	14:43:00	20.187
2017-02-19	14:43:02	20.187
2017-02-19	14:43:04	20.25
2017-02-19	14:43:06	20.25
2017-02-19	14:43:08	20.25
2017-02-19	14:43:10	20.25
2017-02-19	14:43:12	20.312
2017-02-19	14:43:14	20.312
2017-02-19	14:43:16	20.375
2017-02-19	14:43:18	20.375
2017-02-19	14:43:20	20.375
2017-02-19	14:43:22	20.375
2017-02-19	14:43:24	20.375
2017-02-19	14:43:26	20.375
2017-02-19	14:43:28	20.375
2017-02-19	14:43:30	20.375
2017-02-19	14:43:32	20.375
2017-02-19	14:43:34	20.375
2017-02-19	14:43:36	20.312
2017-02-19	14:43:38	20.312
2017-02-19	14:43:40	20.312
2017-02-19	14:43:42	20.312
2017-02-19	14:43:44	20.312
2017-02-19	14:43:46	20.312
2017-02-19	14:43:48	20.25
2017-02-19	14:44:21	20.187
2017-02-19	14:44:23	20.187
2017-02-19	14:44:25	20.187
2017-02-19	14:44:27	20.187
2017-02-19	14:44:29	20.187
2017-02-19	14:44:31	20.25
2017-02-19	14:44:33	20.25
2017-02-19	14:44:35	20.25
2017-02-19	14:44:37	20.25
2017-02-19	14:44:39	20.25
2017-02-19	14:44:41	20.187
2017-02-19	14:44:43	20.25
2017-02-19	14:44:45	20.187
2017-02-19	14:44:47	20.25
2017-02-19	14:44:49	20.25
2017-02-19	14:44:51	20.187
2017-02-19	14:44:53	20.187
2017-02-19	14:44:55	20.25
2017-02-19	14:44:57	20.25
2017-02-19	14:44:59	20.25
2017-02-19	14:45:01	20.25
2017-02-19	14:45:03	20.187
2017-02-19	14:45:05	20.187
2017-02-19	14:45:07	20.25
2017-02-19	14:45:09	20.25
2017-02-19	14:45:11	20.187
2017-02-19	14:45:13	20.25
2017-02-19	14:45:15	20.25
2017-02-19	14:45:17	20.25
2017-02-19	14:45:19	20.25
2017-02-19	14:45:21	20.187
2017-02-19	14:45:23	20.187
2017-02-19	14:45:25	20.187
2017-02-19	14:45:27	20.25
2017-02-19	14:45:29	20.25
2017-02-19	14:45:31	20.25
2017-02-19	14:45:33	20.25
2017-02-19	14:45:35	20.25
2017-02-19	14:45:37	20.25
2017-02-19	14:45:39	20.25
2017-02-19	14:45:41	20.25
2017-02-19	14:45:43	20.25
2017-02-19	14:45:45	20.187
2017-02-19	14:45:47	20.187
2017-02-19	14:45:49	20.187
2017-02-19	14:45:51	20.187
2017-02-19	14:45:53	20.187
2017-02-19	14:45:55	20.187
2017-02-19	14:45:57	20.187
2017-02-19	14:45:59	20.187
2017-02-19	14:46:01	20.187
2017-02-19	14:46:03	20.187
2017-02-19	14:46:05	20.187
2017-02-19	14:46:07	20.187
2017-02-19	14:46:09	20.187
2017-02-19	14:46:11	20.187
2017-02-19	14:46:13	20.187
2017-02-19	14:46:15	20.187
2017-02-19	14:46:17	20.187
2017-02-19	14:46:19	20.187
2017-02-19	14:46:21	20.187
2017-02-19	14:46:23	20.187
2017-02-19	14:46:26	20.187
2017-02-19	14:46:28	20.187
2017-02-19	14:46:30	20.187
2017-02-19	14:46:32	20.187
2017-02-19	14:46:34	20.187
2017-02-19	14:46:36	20.187
2017-02-19	14:46:38	20.187
2017-02-19	14:46:40	20.187
2017-02-19	14:46:42	20.187
2017-02-19	14:46:44	20.187
2017-02-19	14:46:46	20.25
2017-02-19	14:46:48	20.187
2017-02-19	14:46:50	20.25
2017-02-19	14:46:52	20.187
2017-02-19	14:46:54	20.187
2017-02-19	14:46:56	20.25
2017-02-19	14:46:58	20.187
2017-02-19	14:47:00	20.25
2017-02-19	14:47:02	20.187
2017-02-19	14:47:04	20.25
2017-02-19	14:47:06	20.187
2017-02-19	14:47:08	20.187
2017-02-19	14:47:10	20.187
2017-02-19	14:47:12	20.187
2017-02-19	14:47:14	20.187
2017-02-19	14:47:16	20.187
2017-02-19	14:47:18	20.187
2017-02-19	14:47:20	20.187
2017-02-19	14:47:22	20.187
2017-02-19	14:47:24	20.25
2017-02-19	14:47:27	20.25
2017-02-19	14:47:29	20.25
2017-02-19	14:47:31	20.187
2017-02-19	14:47:33	20.25
2017-02-19	14:47:35	20.25
2017-02-19	14:47:37	20.312
2017-02-19	14:47:39	20.312
2017-02-19	14:47:41	20.312
2017-02-19	14:47:43	20.25
2017-02-19	14:47:45	20.25
2017-02-19	14:47:47	20.25
2017-02-19	14:47:49	20.25
2017-02-19	14:47:51	20.25
2017-02-19	14:47:53	20.25
2017-02-19	14:47:55	20.25
2017-02-19	14:47:57	20.25
2017-02-19	14:47:59	20.25
2017-02-19	14:48:01	20.25
2017-02-19	14:48:03	20.25
2017-02-19	14:48:05	20.25
2017-02-19	14:48:07	20.25
2017-02-19	14:48:09	20.25
2017-02-19	14:48:11	20.25
2017-02-19	14:48:13	20.25
2017-02-19	14:48:15	20.25
2017-02-19	14:48:17	20.25
2017-02-19	14:48:19	20.25
2017-02-19	14:48:21	20.187
2017-02-19	14:48:23	20.25
2017-02-19	14:48:25	20.25
2017-02-19	14:48:27	20.25
2017-02-19	14:48:29	20.25
2017-02-19	14:48:31	20.25
2017-02-19	14:48:33	20.25
2017-02-19	14:48:35	20.25
2017-02-19	14:48:37	20.25
2017-02-19	14:48:39	20.25
2017-02-19	14:48:41	20.25
2017-02-19	14:48:43	20.25
2017-02-19	14:48:45	20.25
2017-02-19	14:48:47	20.25
2017-02-19	14:48:49	20.25
2017-02-19	14:48:51	20.25
2017-02-19	14:48:53	20.25
2017-02-19	14:48:55	20.25
2017-02-19	14:48:57	20.25
2017-02-19	14:48:59	20.25
2017-02-19	14:49:01	20.25
2017-02-19	14:49:03	20.25
2017-02-19	14:49:05	20.25
2017-02-19	14:49:07	20.25
2017-02-19	14:49:09	20.25
2017-02-19	14:49:11	20.25
2017-02-19	14:49:13	20.25
2017-02-19	14:49:15	20.25
2017-02-19	14:49:17	20.25
